,Team_Name,Elimination Date
0,Atlanta Hawks,Playoffs
162,Boston Celtics,Playoffs
450,Brooklyn Nets,2017-03-08 00:00:00
643,Charlotte Hornets,2017-04-08 00:00:00
809,Chicago Bulls,Playoffs
810,Cleveland Cavaliers,Playoffs
1125,Dallas Mavericks,2017-04-04 00:00:00
1293,Denver Nuggets,2017-04-10 00:00:00
1455,Detroit Pistons,2017-04-10 00:00:00
1458,Golden State Warriors,Playoffs
1620,Houston Rockets,Playoffs
1782,Indiana Pacers,Playoffs
1944,LA Clippers,Playoffs
2243,Los Angeles Lakers,2017-03-19 00:00:00
2268,Memphis Grizzlies,Playoffs
2591,Miami Heat,2017-04-12 00:00:00
2592,Milwaukee Bucks,Playoffs
2904,Minnesota Timberwolves,2017-04-01 00:00:00
3069,New Orleans Pelicans,2017-04-04 00:00:00
3225,New York Knicks,2017-03-29 00:00:00
3240,Oklahoma City Thunder,Playoffs
3548,Orlando Magic,2017-03-28 00:00:00
3711,Philadelphia 76ers,2017-03-29 00:00:00
3866,Phoenix Suns,2017-03-22 00:00:00
4049,Portland Trail Blazers,Playoffs
4198,Sacramento Kings,2017-03-30 00:00:00
4212,San Antonio Spurs,Playoffs
4374,Toronto Raptors,Playoffs
4536,Utah Jazz,Playoffs
4698,Washington Wizards,Playoffs
